Country,Year_2008_2009,Year_2009_2010,Year_2010_2011,Year_2011_2012,Year_2012_2013,Year_2013_2014,Year_2014_2015,Year_2015_2016,Year_2016_2017,Year_2017_2018,Year_2018_2019,Year_2019_2020,Year_2020_2021,Year_2021_2022,Year_2022_2023,Year_2023_2024,Year_2024_2025
 GERMANY ,2919475.35,2563293.28,263684.0,3796532.0,3940811.0,4551944.0,4606197.0,4645663.0,0.0,5.0,2.0,19.0,404416.0,805277.0,361329.0,688464.0,134617.0
 GHANA ,249717.48,184445.29,67105.0,384306.0,404967.0,504519.0,416979.0,409083.0,2028.0,1700.0,2638.0,1978.0,826.0,1036.0,630904.0,873560.0,3.0
 GIBRALTAR ,4025.93,299644.52,165739.0,139984.0,145.0,60580.0,393328.0,779621.0,2940.0,3448.0,2395.0,5653.0,2114.0,2950.0,28.0,189.0,196.0
 GREECE ,406323.82,214976.71,47.0,377226.0,163237.0,202545.0,220425.0,220347.0,327.0,568.0,457.0,644.0,1970.0,2675.0,3120.0,3647.0,653.0
 GREENLAND ,38.41,177.83,462.0,134.0,255.0,1054.0,690.0,5693.0,161732.0,188219.0,213691.0,206753.0,552.0,1255.0,2715.0,3820.0,135.0
 GRENADA ,207.18,308.04,2831.0,495.0,464.0,895.0,819.0,1222.0,621.0,20.0,0.0,0.0,244758.0,411218.0,517.0,700.0,85697.0
 GUADELOUPE ,684.83,1687.7,826.0,3350.0,3591.0,3948.0,2537.0,1872.0,237889.0,243647.0,282836.0,251587.0,292308.0,333029.0,373750.0,462899.0,141800.0
 GUAM ,248.38,276.17,51390.0,930.0,550.0,168.0,255.0,251.0,14520.0,6885.0,7563.0,6363.0,371576.0,418260.0,506361.0,576427.0,1511.0
 GUATEMALA ,36984.11,41055.31,43866.0,92124.0,122210.0,128931.0,140100.0,167572.0,13450.0,16779.0,20722.0,17867.0,13339.0,7908.0,7953.0,5782.0,12212.0
 GUINEA ,35446.38,37671.9,1389.0,62648.0,112040.0,123699.0,173476.0,181825.0,47909.0,60585.0,55504.0,46474.0,26286.0,49531.0,49984.0,82335.0,3106.0
 GUINEA BISSAU ,16491.57,1494.5,7318.0,6222.0,5870.0,11696.0,5963.0,9534.0,4779.0,24.0,19.0,39828.5,79638.0,74167.0,70362.0,87402.0,35643.0
 GUYANA ,5555.41,7715.78,27537.0,10224.0,11949.0,14695.0,14947.0,14288.0,90447.0,94251.0,116879.0,131352.0,120429.0,236871.0,219084.0,220143.0,774253.0
 HAITI ,20342.04,15668.16,205.0,23110.0,34680.0,35831.0,52378.0,40614.0,9411493.0,9467735.0,9111742.0,7775243.0,7520143.0,8183453.0,7949742.0,6829915.0,71199.0
 HEARD MACDONALD ,0.09,0.63,28809.0,14405.0,1.0,16.0,35.0,136271.0,272507.0,259549.0,320458.0,300344.0,366754.0,410612.0,462527.0,464769.0,1450.0
 HONDURAS ,31588.43,21515.76,4703842.0,44210.0,59976.0,65531.0,114965.0,101414.0,11210.0,3802.0,21791.0,7145.0,8078.0,8780.0,8378.0,10064.0,782813.0
 HONG KONG ,3039069.39,3730053.4,96805.0,6187723.0,6689817.0,7724096.0,8311857.0,7930702.0,2340069.0,2556176.0,3687106.0,2929938.0,3715669.0,6319650.0,8033518.0,4951517.0,190180.0
 HUNGARY ,199667.93,128182.66,38606.0,151592.0,176181.0,207994.0,213422.0,225840.0,53433.0,22401.0,2446096.0,2385429.0,1321185.0,1083118.0,1327244.0,1011729.0,470053.0
 ICELAND ,5708.88,8015.05,2592441.0,15985.0,14093.0,11979.0,12200.0,12176.0,1595528.0,1709371.0,1250650.0,1328660.0,1110518.0,1796958.0,2177664.0,2776676.0,86499.0
 INDONESIA ,1157782.95,1460463.91,1133689.0,3210070.0,2899609.0,2933987.0,2467435.0,1844607.0,745645.0,942265.0,371498.0,378332.0,416968.0,513013.0,467244.0,582090.0,270926.0
 IRAN ,1156517.42,880743.32,307506.0,1151165.0,1825481.0,3005657.0,1505224.5,4792.0,325536.0,345502.0,2595875.0,2380739.0,1997978.0,3577046.0,6827425.0,3748205.0,1145438.0
 IRAQ ,198127.14,226331.18,122915.0,370850.0,697278.0,552497.0,2552962.0,1817671.0,2069804.0,2168736.0,3908779.0,3525935.0,3499172.0,6095957.0,6976287.0,7255314.0,11765.0
 IRELAND ,203497.12,123564.18,1328260.0,183650.0,210291.0,250897.0,508954.0,654976.0,3285790.0,3680607.0,38833.0,40204.0,47436.0,60089.0,70521.0,90377.0,760356.0
